Test (Newton = 2, ADDR_W = 6, WORD_W = 8, II = 1): RMSRE = 0.0000000470, MAX_REL_ERROR = 0.0000001448, WORST_INPUT = 0.0000000000000000000512885
Test (Newton = 2, ADDR_W = 6, WORD_W = 6, II = 1): RMSRE = 0.0000000478, MAX_REL_ERROR = 0.0000001571, WORST_INPUT = 2583416179797186838528.0000000000000000000000000
Test (Newton = 1, ADDR_W = 11, WORD_W = 16, II = 1): RMSRE = 0.0000000458, MAX_REL_ERROR = 0.0000001651, WORST_INPUT = 5043632026178318971111997440.0000000000000000000000000
Test (Newton = 1, ADDR_W = 11, WORD_W = 14, II = 1): RMSRE = 0.0000000463, MAX_REL_ERROR = 0.0000001676, WORST_INPUT = 3005988912537042080732914122752.0000000000000000000000000
Test (Newton = 1, ADDR_W = 11, WORD_W = 12, II = 1): RMSRE = 0.0000000507, MAX_REL_ERROR = 0.0000001960, WORST_INPUT = 311091656666560912687104.0000000000000000000000000
Test (Newton = 1, ADDR_W = 11, WORD_W = 10, II = 1): RMSRE = 0.0000001304, MAX_REL_ERROR = 0.0000005579, WORST_INPUT = 16871140492312576.0000000000000000000000000
Test (Newton = 1, ADDR_W = 11, WORD_W = 8, II = 1): RMSRE = 0.0000015689, MAX_REL_ERROR = 0.0000061364, WORST_INPUT = 4991374540630108172050562547712.0000000000000000000000000
Test (Newton = 1, ADDR_W = 11, WORD_W = 6, II = 1): RMSRE = 0.0000246197, MAX_REL_ERROR = 0.0000910087, WORST_INPUT = 80523013133035745370440737098825728.0000000000000000000000000
Test (Newton = 1, ADDR_W = 10, WORD_W = 16, II = 1): RMSRE = 0.0000000955, MAX_REL_ERROR = 0.0000003804, WORST_INPUT = 613896690018760112734208.0000000000000000000000000
Test (Newton = 1, ADDR_W = 10, WORD_W = 14, II = 1): RMSRE = 0.0000000953, MAX_REL_ERROR = 0.0000003879, WORST_INPUT = 652873715612356213047025970708480.0000000000000000000000000
Test (Newton = 1, ADDR_W = 10, WORD_W = 12, II = 1): RMSRE = 0.0000001027, MAX_REL_ERROR = 0.0000004802, WORST_INPUT = 171138185586946333243046854800099508224.0000000000000000000000000
Test (Newton = 1, ADDR_W = 10, WORD_W = 10, II = 1): RMSRE = 0.0000002029, MAX_REL_ERROR = 0.0000009509, WORST_INPUT = 0.0000000000000000000017634
Test (Newton = 1, ADDR_W = 10, WORD_W = 8, II = 1): RMSRE = 0.0000016746, MAX_REL_ERROR = 0.0000065964, WORST_INPUT = 0.0036165784113109111785889
Test (Newton = 1, ADDR_W = 10, WORD_W = 6, II = 1): RMSRE = 0.0000247907, MAX_REL_ERROR = 0.0000921138, WORST_INPUT = 248.2484283447265625000000000
Test (Newton = 1, ADDR_W = 9, WORD_W = 16, II = 1): RMSRE = 0.0000003458, MAX_REL_ERROR = 0.0000014144, WORST_INPUT = 9592966695674376617984.0000000000000000000000000
Test (Newton = 1, ADDR_W = 9, WORD_W = 14, II = 1): RMSRE = 0.0000003494, MAX_REL_ERROR = 0.0000014205, WORST_INPUT = 10135732060753570545874763776.0000000000000000000000000
Test (Newton = 1, ADDR_W = 9, WORD_W = 12, II = 1): RMSRE = 0.0000003575, MAX_REL_ERROR = 0.0000015353, WORST_INPUT = 20599668006493137558265393053696.0000000000000000000000000
Test (Newton = 1, ADDR_W = 9, WORD_W = 10, II = 1): RMSRE = 0.0000004610, MAX_REL_ERROR = 0.0000023076, WORST_INPUT = 2572340021793571460991680512.0000000000000000000000000
Test (Newton = 1, ADDR_W = 9, WORD_W = 8, II = 1): RMSRE = 0.0000019561, MAX_REL_ERROR = 0.0000082746, WORST_INPUT = 1022308113161650176.0000000000000000000000000
Test (Newton = 1, ADDR_W = 9, WORD_W = 6, II = 1): RMSRE = 0.0000256420, MAX_REL_ERROR = 0.0000962715, WORST_INPUT = 72687794767404093839245312.0000000000000000000000000
Test (Newton = 1, ADDR_W = 8, WORD_W = 16, II = 1): RMSRE = 0.0000013686, MAX_REL_ERROR = 0.0000055754, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 1, ADDR_W = 8, WORD_W = 14, II = 1): RMSRE = 0.0000013821, MAX_REL_ERROR = 0.0000056029, WORST_INPUT = 0.0000000000000000555117667
Test (Newton = 1, ADDR_W = 8, WORD_W = 12, II = 1): RMSRE = 0.0000014054, MAX_REL_ERROR = 0.0000059273, WORST_INPUT = 135167.6875000000000000000000000
