N,SIMD,clock_period,WNS,Critical path timing,Max frequency,REG,LUT,DSP,BRAM,URAM
64,1,4.0,1.590,2.41,415,501,477,6,0,0
64,2,4.0,1.496,2.504,399,627,569,11,0,0
64,4,4.0,1.437,2.563,390,888,761,21,0,0
64,8,4.0,1.595,2.405,416,1445,1381,41,0,0
64,16,4.0,1.451,2.549,392,2427,1802,81,0,0
64,32,4.0,1.237,2.763,362,4546,3392,162,0,0
64,64,4.0,1.081,2.919,343,8886,9532,323,0,0
