rec_bipartite accuracy sweep
  NUM_SAMPLES      = 10000
  NS=0 A0=4 A1=4 A2=4 WW=16 C=2.000000  RMSRE=5.436926e-05  max_rel_error=2.003841e-04  at x=4.83691154e+24  (dut=2.06702068e-25, ref=2.06743496e-25)
  NS=0 A0=4 A1=4 A2=5 WW=16 C=2.000000  RMSRE=3.352643e-05  max_rel_error=1.469650e-04  at x=4.83691154e+24  (dut=2.06713112e-25, ref=2.06743496e-25)
  NS=0 A0=4 A1=4 A2=6 WW=16 C=2.000000  RMSRE=2.556205e-05  max_rel_error=1.272544e-04  at x=3.7785944e+22  (dut=2.64614997e-23, ref=2.64648675e-23)
  NS=0 A0=4 A1=4 A2=7 WW=16 C=2.000000  RMSRE=2.329595e-05  max_rel_error=1.119928e-04  at x=3.7785944e+22  (dut=2.64619036e-23, ref=2.64648675e-23)
  NS=0 A0=4 A1=5 A2=3 WW=16 C=2.000000  RMSRE=5.110374e-05  max_rel_error=1.628296e-04  at x=3.52534145e+13  (dut=2.83614278e-14, ref=2.83660466e-14)
  NS=0 A0=4 A1=5 A2=4 WW=17 C=2.000000  RMSRE=2.724749e-05  max_rel_error=1.016746e-04  at x=3.52534145e+13  (dut=2.83631625e-14, ref=2.83660466e-14)
  NS=0 A0=4 A1=5 A2=5 WW=17 C=2.000000  RMSRE=1.675276e-05  max_rel_error=7.491935e-05  at x=3.52534145e+13  (dut=2.83639215e-14, ref=2.83660466e-14)
  NS=0 A0=4 A1=5 A2=6 WW=17 C=2.000000  RMSRE=1.290095e-05  max_rel_error=6.516671e-05  at x=2.53320634e+15  (dut=3.94730906e-16, ref=3.94756631e-16)
  NS=0 A0=4 A1=5 A2=7 WW=17 C=2.000000  RMSRE=1.170526e-05  max_rel_error=5.991135e-05  at x=256.495758  (dut=0.00389893353, ref=0.00389869995)
  NS=0 A0=4 A1=6 A2=3 WW=17 C=2.000000  RMSRE=2.564400e-05  max_rel_error=7.807088e-05  at x=3.20008105e+29  (dut=3.12467689e-30, ref=3.12492086e-30)
  NS=0 A0=4 A1=6 A2=4 WW=18 C=2.000000  RMSRE=1.362148e-05  max_rel_error=4.683022e-05  at x=1.03307144e+19  (dut=9.67941937e-20, ref=9.67987268e-20)
  NS=0 A0=4 A1=6 A2=5 WW=18 C=2.000000  RMSRE=8.423465e-06  max_rel_error=4.027266e-05  at x=1.54888769e+26  (dut=6.45650603e-27, ref=6.45624602e-27)
  NS=0 A0=4 A1=6 A2=6 WW=18 C=2.000000  RMSRE=6.471681e-06  max_rel_error=3.315676e-05  at x=256.495758  (dut=0.00389882922, ref=0.00389869995)
  NS=0 A0=4 A1=6 A2=7 WW=18 C=2.000000  RMSRE=5.817530e-06  max_rel_error=2.933468e-05  at x=256.495758  (dut=0.00389881432, ref=0.00389869995)
  NS=0 A0=4 A1=7 A2=3 WW=18 C=2.000000  RMSRE=1.276819e-05  max_rel_error=3.854936e-05  at x=6.55691731e+32  (dut=1.52516572e-33, ref=1.52510692e-33)
  NS=0 A0=4 A1=7 A2=4 WW=19 C=2.000000  RMSRE=6.789719e-06  max_rel_error=2.595402e-05  at x=1.54888769e+26  (dut=6.45641359e-27, ref=6.45624602e-27)
  NS=0 A0=4 A1=7 A2=5 WW=19 C=2.000000  RMSRE=4.182833e-06  max_rel_error=2.029080e-05  at x=7.92680571e+28  (dut=1.26151661e-29, ref=1.26154221e-29)
  NS=0 A0=4 A1=7 A2=6 WW=19 C=2.000000  RMSRE=3.202234e-06  max_rel_error=1.647418e-05  at x=7.92680571e+28  (dut=1.26152143e-29, ref=1.26154221e-29)
  NS=0 A0=4 A1=7 A2=7 WW=19 C=2.000000  RMSRE=2.910953e-06  max_rel_error=1.456587e-05  at x=7.92680571e+28  (dut=1.26152384e-29, ref=1.26154221e-29)
  NS=0 A0=5 A1=3 A2=3 WW=15 C=2.000000  RMSRE=1.006424e-04  max_rel_error=2.795565e-04  at x=2.42686993e+21  (dut=4.1216859e-22, ref=4.12053397e-22)
  NS=0 A0=5 A1=3 A2=4 WW=16 C=2.000000  RMSRE=5.126810e-05  max_rel_error=1.545963e-04  at x=4.83691154e+24  (dut=2.06711534e-25, ref=2.06743496e-25)
  NS=0 A0=5 A1=3 A2=5 WW=17 C=2.000000  RMSRE=2.736715e-05  max_rel_error=1.011772e-04  at x=4.83691154e+24  (dut=2.06722578e-25, ref=2.06743496e-25)
  NS=0 A0=5 A1=3 A2=6 WW=17 C=2.000000  RMSRE=1.679351e-05  max_rel_error=8.096701e-05  at x=3.19138412e+26  (dut=3.13318295e-27, ref=3.13343666e-27)
  NS=0 A0=5 A1=3 A2=7 WW=17 C=2.000000  RMSRE=1.276452e-05  max_rel_error=6.523227e-05  at x=3.19138412e+26  (dut=3.13323226e-27, ref=3.13343666e-27)
  NS=0 A0=5 A1=4 A2=3 WW=16 C=2.000000  RMSRE=5.037451e-05  max_rel_error=1.328054e-04  at x=278396544  (dut=3.59247565e-09, ref=3.59199861e-09)
  NS=0 A0=5 A1=4 A2=4 WW=17 C=2.000000  RMSRE=2.561194e-05  max_rel_error=7.491935e-05  at x=3.52534145e+13  (dut=2.83639215e-14, ref=2.83660466e-14)
  NS=0 A0=5 A1=4 A2=5 WW=18 C=2.000000  RMSRE=1.371256e-05  max_rel_error=5.539806e-05  at x=3.19138412e+26  (dut=3.13326307e-27, ref=3.13343666e-27)
  NS=0 A0=5 A1=4 A2=6 WW=18 C=2.000000  RMSRE=8.357704e-06  max_rel_error=3.966332e-05  at x=3.19138412e+26  (dut=3.13331237e-27, ref=3.13343666e-27)
  NS=0 A0=5 A1=4 A2=7 WW=18 C=2.000000  RMSRE=6.400839e-06  max_rel_error=3.315676e-05  at x=256.495758  (dut=0.00389882922, ref=0.00389869995)
  NS=0 A0=5 A1=5 A2=3 WW=17 C=2.000000  RMSRE=2.521441e-05  max_rel_error=6.778674e-05  at x=4.1797527e+31  (dut=2.39264822e-32, ref=2.39248604e-32)
  NS=0 A0=5 A1=5 A2=4 WW=18 C=2.000000  RMSRE=1.280682e-05  max_rel_error=4.163016e-05  at x=3.19138412e+26  (dut=3.13330621e-27, ref=3.13343666e-27)
  NS=0 A0=5 A1=5 A2=5 WW=19 C=2.000000  RMSRE=6.824408e-06  max_rel_error=2.690860e-05  at x=1.54888769e+26  (dut=6.45641975e-27, ref=6.45624602e-27)
  NS=0 A0=5 A1=5 A2=6 WW=19 C=2.000000  RMSRE=4.214343e-06  max_rel_error=1.927199e-05  at x=1.54888769e+26  (dut=6.45637045e-27, ref=6.45624602e-27)
  NS=0 A0=5 A1=5 A2=7 WW=19 C=2.000000  RMSRE=3.216965e-06  max_rel_error=1.640826e-05  at x=1.54888769e+26  (dut=6.45635196e-27, ref=6.45624602e-27)
  NS=0 A0=5 A1=6 A2=3 WW=18 C=2.000000  RMSRE=1.255642e-05  max_rel_error=3.377950e-05  at x=5.34665065e+33  (dut=1.87026661e-34, ref=1.87032979e-34)
  NS=0 A0=5 A1=6 A2=4 WW=19 C=2.000000  RMSRE=6.380603e-06  max_rel_error=2.022657e-05  at x=1.54888769e+26  (dut=6.45637661e-27, ref=6.45624602e-27)
  NS=0 A0=5 A1=6 A2=5 WW=20 C=2.000000  RMSRE=3.401331e-06  max_rel_error=1.408879e-05  at x=7.92680571e+28  (dut=1.26152444e-29, ref=1.26154221e-29)
  NS=0 A0=5 A1=6 A2=6 WW=20 C=2.000000  RMSRE=2.086716e-06  max_rel_error=1.027218e-05  at x=7.92680571e+28  (dut=1.26152925e-29, ref=1.26154221e-29)
  NS=0 A0=5 A1=6 A2=7 WW=20 C=2.000000  RMSRE=1.584044e-06  max_rel_error=8.840943e-06  at x=7.92680571e+28  (dut=1.26153106e-29, ref=1.26154221e-29)
  NS=0 A0=5 A1=7 A2=3 WW=19 C=2.000000  RMSRE=6.263162e-06  max_rel_error=1.640826e-05  at x=1.54888769e+26  (dut=6.45635196e-27, ref=6.45624602e-27)
  NS=0 A0=5 A1=7 A2=4 WW=20 C=2.000000  RMSRE=3.194953e-06  max_rel_error=1.030010e-05  at x=1.99422747e+25  (dut=5.01442146e-26, ref=5.01447311e-26)
  NS=0 A0=5 A1=7 A2=5 WW=21 C=2.000000  RMSRE=1.706607e-06  max_rel_error=6.694096e-06  at x=7.92680571e+28  (dut=1.26153377e-29, ref=1.26154221e-29)
  NS=0 A0=5 A1=7 A2=6 WW=21 C=2.000000  RMSRE=1.033622e-06  max_rel_error=4.966834e-06  at x=5.47923021e+36  (dut=1.82508296e-37, ref=1.82507389e-37)
  NS=0 A0=5 A1=7 A2=7 WW=21 C=2.000000  RMSRE=7.952041e-07  max_rel_error=4.355038e-06  at x=4.83691154e+24  (dut=2.06742595e-25, ref=2.06743496e-25)
  NS=0 A0=6 A1=3 A2=3 WW=16 C=2.000000  RMSRE=5.018763e-05  max_rel_error=1.252601e-04  at x=6.55691731e+32  (dut=1.52529796e-33, ref=1.52510692e-33)
  NS=0 A0=6 A1=3 A2=4 WW=17 C=2.000000  RMSRE=2.515070e-05  max_rel_error=6.683631e-05  at x=4.83691154e+24  (dut=2.06729678e-25, ref=2.06743496e-25)
  NS=0 A0=6 A1=3 A2=5 WW=18 C=2.000000  RMSRE=1.280195e-05  max_rel_error=4.163016e-05  at x=3.19138412e+26  (dut=3.13330621e-27, ref=3.13343666e-27)
  NS=0 A0=6 A1=3 A2=6 WW=19 C=2.000000  RMSRE=6.786605e-06  max_rel_error=2.547109e-05  at x=2.53320634e+15  (dut=3.94746576e-16, ref=3.94756631e-16)
  NS=0 A0=6 A1=3 A2=7 WW=19 C=2.000000  RMSRE=4.185259e-06  max_rel_error=1.899546e-05  at x=1.78673659e+13  (dut=5.59668956e-14, ref=5.59679588e-14)
