exp_bipartite accuracy sweep
  NUM_SAMPLES      = 10000
  EXCLUDE_POS      = 0
  NS=0 A0=4 A1=4 A2=3 WW=15  RMSRE=9.874549e-05  max_rel_error=2.058102e-04  at x=-74.7353439  (dut=3.4909361e-33, ref=3.49021778e-33)
  NS=0 A0=4 A1=4 A2=4 WW=16  RMSRE=4.996043e-05  max_rel_error=1.151317e-04  at x=-25.3431969  (dut=9.85234117e-12, ref=9.85347561e-12)
  NS=0 A0=4 A1=4 A2=5 WW=17  RMSRE=2.648858e-05  max_rel_error=7.236169e-05  at x=-10.6570539  (dut=2.35325424e-05, ref=2.35342454e-05)
  NS=0 A0=4 A1=4 A2=6 WW=18  RMSRE=1.590058e-05  max_rel_error=4.827586e-05  at x=-52.6766396  (dut=1.32692715e-23, ref=1.3268631e-23)
  NS=0 A0=4 A1=4 A2=7 WW=18  RMSRE=1.184787e-05  max_rel_error=5.625238e-05  at x=-67.2326736  (dut=6.32769098e-30, ref=6.32733505e-30)
  NS=0 A0=4 A1=5 A2=3 WW=16  RMSRE=4.939995e-05  max_rel_error=1.064518e-04  at x=-80.8423538  (dut=7.77424209e-36, ref=7.7734146e-36)
  NS=0 A0=4 A1=5 A2=4 WW=17  RMSRE=2.522564e-05  max_rel_error=5.564201e-05  at x=-66.5054092  (dut=1.30945903e-29, ref=1.30938617e-29)
  NS=0 A0=4 A1=5 A2=5 WW=18  RMSRE=1.338204e-05  max_rel_error=3.678800e-05  at x=19.4515266  (dut=280333312, ref=280343625)
  NS=0 A0=4 A1=5 A2=6 WW=19  RMSRE=8.112726e-06  max_rel_error=2.577290e-05  at x=-70.5751114  (dut=2.23681341e-31, ref=2.23675576e-31)
  NS=0 A0=4 A1=5 A2=7 WW=19  RMSRE=6.118594e-06  max_rel_error=2.554454e-05  at x=13.170907  (dut=524884, ref=524870.592)
  NS=0 A0=4 A1=6 A2=3 WW=17  RMSRE=2.485172e-05  max_rel_error=5.647514e-05  at x=-70.6191101  (dut=2.1405959e-31, ref=2.14047502e-31)
  NS=0 A0=4 A1=6 A2=4 WW=18  RMSRE=1.266596e-05  max_rel_error=3.092854e-05  at x=-56.0996132  (dut=4.32773826e-25, ref=4.32760441e-25)
  NS=0 A0=4 A1=6 A2=5 WW=19  RMSRE=6.907145e-06  max_rel_error=1.967262e-05  at x=-53.5029564  (dut=5.80724057e-24, ref=5.80712633e-24)
  NS=0 A0=4 A1=6 A2=6 WW=20  RMSRE=4.397110e-06  max_rel_error=1.525380e-05  at x=-73.8195114  (dut=8.72168025e-33, ref=8.72154722e-33)
  NS=0 A0=4 A1=6 A2=7 WW=20  RMSRE=3.529514e-06  max_rel_error=1.580553e-05  at x=-79.7113953  (dut=2.40872797e-35, ref=2.4086899e-35)
  NS=0 A0=4 A1=7 A2=3 WW=18  RMSRE=1.248241e-05  max_rel_error=2.901760e-05  at x=-82.3096237  (dut=1.79224432e-36, ref=1.79219232e-36)
  NS=0 A0=4 A1=7 A2=4 WW=19  RMSRE=6.585284e-06  max_rel_error=1.641237e-05  at x=-53.5029564  (dut=5.80722164e-24, ref=5.80712633e-24)
  NS=0 A0=4 A1=7 A2=5 WW=20  RMSRE=3.848620e-06  max_rel_error=1.189679e-05  at x=-59.6549873  (dut=1.23644086e-26, ref=1.23642615e-26)
  NS=0 A0=4 A1=7 A2=6 WW=21  RMSRE=2.790886e-06  max_rel_error=9.188682e-06  at x=-73.8195114  (dut=8.72162736e-33, ref=8.72154722e-33)
  NS=0 A0=4 A1=7 A2=7 WW=21  RMSRE=2.164215e-06  max_rel_error=7.909180e-06  at x=-59.6549873  (dut=1.23643593e-26, ref=1.23642615e-26)
  NS=0 A0=5 A1=3 A2=3 WW=15  RMSRE=9.852956e-05  max_rel_error=1.946397e-04  at x=-21.480793  (dut=4.68915573e-10, ref=4.68824321e-10)
  NS=0 A0=5 A1=3 A2=4 WW=16  RMSRE=4.932576e-05  max_rel_error=1.039830e-04  at x=-32.9002914  (dut=5.14790034e-15, ref=5.1473651e-15)
  NS=0 A0=5 A1=3 A2=5 WW=17  RMSRE=2.521641e-05  max_rel_error=5.837983e-05  at x=-57.642231  (dut=9.25385118e-26, ref=9.25331097e-26)
  NS=0 A0=5 A1=3 A2=6 WW=18  RMSRE=1.335216e-05  max_rel_error=3.706690e-05  at x=-57.642231  (dut=9.25365396e-26, ref=9.25331097e-26)
  NS=0 A0=5 A1=3 A2=7 WW=19  RMSRE=8.104211e-06  max_rel_error=2.581413e-05  at x=-67.2326736  (dut=6.32749839e-30, ref=6.32733505e-30)
  NS=0 A0=5 A1=4 A2=3 WW=16  RMSRE=4.912956e-05  max_rel_error=9.791458e-05  at x=-72.6281509  (dut=2.8710274e-32, ref=2.87074631e-32)
  NS=0 A0=5 A1=4 A2=4 WW=17  RMSRE=2.484539e-05  max_rel_error=5.267983e-05  at x=-56.5106201  (dut=2.86927644e-25, ref=2.86912529e-25)
  NS=0 A0=5 A1=4 A2=5 WW=18  RMSRE=1.264869e-05  max_rel_error=3.085821e-05  at x=-55.4327393  (dut=8.43102981e-25, ref=8.43076965e-25)
  NS=0 A0=5 A1=4 A2=6 WW=19  RMSRE=6.908425e-06  max_rel_error=2.029983e-05  at x=-85.1934357  (dut=1.00223557e-37, ref=1.00221522e-37)
  NS=0 A0=5 A1=4 A2=7 WW=20  RMSRE=4.366025e-06  max_rel_error=1.493073e-05  at x=-85.1934357  (dut=1.00223019e-37, ref=1.00221522e-37)
  NS=0 A0=5 A1=5 A2=3 WW=17  RMSRE=2.473403e-05  max_rel_error=5.104891e-05  at x=-71.8917694  (dut=5.99547258e-32, ref=5.99516653e-32)
  NS=0 A0=5 A1=5 A2=4 WW=18  RMSRE=1.246086e-05  max_rel_error=2.924831e-05  at x=-85.1934357  (dut=1.00224453e-37, ref=1.00221522e-37)
  NS=0 A0=5 A1=5 A2=5 WW=19  RMSRE=6.570141e-06  max_rel_error=1.738006e-05  at x=-66.8676376  (dut=9.11510143e-30, ref=9.11494301e-30)
  NS=0 A0=5 A1=5 A2=6 WW=20  RMSRE=3.841594e-06  max_rel_error=1.152200e-05  at x=-53.5029564  (dut=5.80719324e-24, ref=5.80712633e-24)
  NS=0 A0=5 A1=5 A2=7 WW=21  RMSRE=2.788358e-06  max_rel_error=9.609939e-06  at x=-79.7113953  (dut=2.40871305e-35, ref=2.4086899e-35)
  NS=0 A0=5 A1=6 A2=3 WW=18  RMSRE=1.241840e-05  max_rel_error=2.682288e-05  at x=-82.63974  (dut=1.28833435e-36, ref=1.28829979e-36)
  NS=0 A0=5 A1=6 A2=4 WW=19  RMSRE=6.494432e-06  max_rel_error=1.672043e-05  at x=-85.1934357  (dut=1.00223198e-37, ref=1.00221522e-37)
  NS=0 A0=5 A1=6 A2=5 WW=20  RMSRE=3.685956e-06  max_rel_error=1.059022e-05  at x=-71.2008972  (dut=1.19632129e-31, ref=1.19630862e-31)
  NS=0 A0=5 A1=6 A2=6 WW=21  RMSRE=2.579411e-06  max_rel_error=7.838939e-06  at x=-71.2008972  (dut=1.196318e-31, ref=1.19630862e-31)
  NS=0 A0=5 A1=6 A2=7 WW=22  RMSRE=1.878924e-06  max_rel_error=6.463297e-06  at x=-71.2008972  (dut=1.19631635e-31, ref=1.19630862e-31)
  NS=0 A0=5 A1=7 A2=3 WW=19  RMSRE=6.464844e-06  max_rel_error=1.608400e-05  at x=-85.234642  (dut=9.61772345e-38, ref=9.61756876e-38)
  NS=0 A0=5 A1=7 A2=4 WW=20  RMSRE=3.642989e-06  max_rel_error=9.661288e-06  at x=-57.2966728  (dut=1.30730029e-25, ref=1.30728766e-25)
  NS=0 A0=5 A1=7 A2=5 WW=21  RMSRE=2.523856e-06  max_rel_error=6.957452e-06  at x=-77.6756668  (dut=1.84454625e-34, ref=1.84453341e-34)
  NS=0 A0=5 A1=7 A2=6 WW=22  RMSRE=1.801370e-06  max_rel_error=5.588284e-06  at x=-77.6756668  (dut=1.84454372e-34, ref=1.84453341e-34)
  NS=0 A0=5 A1=7 A2=7 WW=23  RMSRE=1.391010e-06  max_rel_error=4.903700e-06  at x=-77.6756668  (dut=1.84454246e-34, ref=1.84453341e-34)
  NS=0 A0=6 A1=3 A2=3 WW=16  RMSRE=4.916393e-05  max_rel_error=9.675096e-05  at x=-51.9383163  (dut=2.77662883e-23, ref=2.77636021e-23)
  NS=0 A0=6 A1=3 A2=4 WW=17  RMSRE=2.478043e-05  max_rel_error=5.233867e-05  at x=-78.8684235  (dut=5.5963082e-35, ref=5.59601531e-35)
  NS=0 A0=6 A1=3 A2=5 WW=18  RMSRE=1.245464e-05  max_rel_error=2.727391e-05  at x=-85.234642  (dut=9.61783107e-38, ref=9.61756876e-38)
  NS=0 A0=6 A1=3 A2=6 WW=19  RMSRE=6.558190e-06  max_rel_error=1.672043e-05  at x=-85.1934357  (dut=1.00223198e-37, ref=1.00221522e-37)
