SIMD,ADDR_WIDTH_0,ADDR_WIDTH_1,ADDR_WIDTH_2,WORD_WIDTH,RAM_STYLE,clock_period,WNS,Critical path timing,Max frequency,REG,LUT,DSP,BRAM,URAM
1,2,4,4,14,"distributed",4.0,1.786,2.214,452,162,181,1,0,0
1,2,5,5,15,"distributed",4.0,1.916,2.084,480,168,217,1,0,0
1,3,5,5,17,"distributed",4.0,1.894,2.106,475,175,283,1,0,0
1,3,6,6,18,"distributed",4.0,1.576,2.424,413,181,415,1,0,0
1,4,6,6,20,"distributed",4.0,1.879,2.121,471,196,699,1,0,0
1,4,7,7,21,"distributed",4.0,1.736,2.264,442,223,1254,1,0,0
