DSP_USAGE,clock_period,WNS,Critical path timing,Max frequency,REG,LUT,DSP,BRAM,URAM
No,4.0,2.137,1.863,537,1483,1270,0,0,0
Full,4.0,2.627,1.373,728,336,169,8,0,0
