N,SIMD,RMSRE,MAX_REL_ERROR
4,1,0.0001731135,0.0006150508
4,2,0.0001738408,0.0006563913
4,4,0.0001737341,0.0006439486
8,1,0.0001531615,0.0005804098
8,2,0.0001518532,0.0005615816
8,4,0.0001509388,0.0005921867
16,1,0.0001443938,0.0005595047
16,2,0.0001418793,0.0005317009
16,4,0.0001436576,0.0005402831
32,1,0.0001367306,0.0004972567
32,2,0.0001375032,0.0005152284
32,4,0.0001360431,0.0004611702
