N,B
2,0.70710678061203558
4,1.0162579664995994
8,1.125044872394765
16,1.1252962197161902
32,1.0836488138954274
64,1.0456234249238079
128,1.0232497485199974
256,1.0116783291392741
512,1.0058484844180158
1024,1.0029283320800084
2048,1.0014650984404119
4096,1.0007321402692357
8192,1.0003662808419149
16384,1.0001830437076193
