N,SIMD,clock_period,WNS,Critical path timing,Max frequency,REG,LUT,DSP,BRAM,URAM
64,1,4.0,1.697,2.303,434,766,754,6,0,0
64,2,4.0,1.869,2.131,469,1040,1114,11,0,0
64,4,4.0,1.409,2.591,386,1597,1736,21,0,0
64,8,4.0,1.164,2.836,353,2656,2786,41,0,0
64,16,4.0,0.523,3.477,288,5003,5406,81,0,0
64,32,4.0,0.316,3.684,271,9502,10732,161,0,0
64,64,4.0,0.394,3.606,277,18339,22280,322,0,0
