N,SIMD,clock_period,WNS,Critical path timing,Max frequency,REG,LUT,DSP,BRAM,URAM
384,4,4.0,1.337,2.663,376,910,1613,21,0,0
384,4,3.0,0.834,2.166,462,910,1615,21,0,0
384,4,2.5,0.608,1.892,529,910,1613,21,0,0
384,4,2.0,0.180,1.82,549,910,1619,21,0,0
