num_newton_steps, optimal_magic_constant, optimal_RMSRE
1, 1594761216, 0.051820
1, 1594765312, 0.051677
1, 1594769408, 0.051535
1, 1594773504, 0.051392
1, 1594777600, 0.051250
1, 1594781696, 0.051108
1, 1594785792, 0.050966
1, 1594789888, 0.050824
1, 1594793984, 0.050682
1, 1594798080, 0.050540
1, 1594802176, 0.050399
1, 1594806272, 0.050257
1, 1594810368, 0.050116
1, 1594814464, 0.049975
1, 1594818560, 0.049834
1, 1594822656, 0.049693
1, 1594826752, 0.049552
1, 1594830848, 0.049411
1, 1594834944, 0.049271
1, 1594839040, 0.049130
1, 1594843136, 0.048990
1, 1594847232, 0.048849
1, 1594851328, 0.048709
1, 1594855424, 0.048569
1, 1594859520, 0.048429
1, 1594863616, 0.048290
1, 1594867712, 0.048150
1, 1594871808, 0.048011
1, 1594875904, 0.047871
1, 1594880000, 0.047732
1, 1594884096, 0.047593
1, 1594888192, 0.047454
1, 1594892288, 0.047316
1, 1594896384, 0.047177
1, 1594900480, 0.047039
1, 1594904576, 0.046900
1, 1594908672, 0.046762
1, 1594912768, 0.046624
1, 1594916864, 0.046486
1, 1594920960, 0.046348
1, 1594925056, 0.046210
1, 1594929152, 0.046073
1, 1594933248, 0.045935
1, 1594937344, 0.045798
1, 1594941440, 0.045661
1, 1594945536, 0.045524
1, 1594949632, 0.045387
1, 1594953728, 0.045250
1, 1594957824, 0.045113
1, 1594961920, 0.044976
1, 1594966016, 0.044840
1, 1594970112, 0.044704
1, 1594974208, 0.044567
1, 1594978304, 0.044431
1, 1594982400, 0.044295
1, 1594986496, 0.044160
1, 1594990592, 0.044024
1, 1594994688, 0.043889
1, 1594998784, 0.043753
1, 1595002880, 0.043618
1, 1595006976, 0.043483
1, 1595011072, 0.043348
1, 1595015168, 0.043213
1, 1595019264, 0.043079
1, 1595023360, 0.042944
1, 1595027456, 0.042810
1, 1595031552, 0.042676
1, 1595035648, 0.042542
1, 1595039744, 0.042408
1, 1595043840, 0.042274
1, 1595047936, 0.042141
1, 1595052032, 0.042007
1, 1595056128, 0.041874
1, 1595060224, 0.041741
1, 1595064320, 0.041608
1, 1595068416, 0.041475
1, 1595072512, 0.041343
1, 1595076608, 0.041210
1, 1595080704, 0.041078
1, 1595084800, 0.040946
1, 1595088896, 0.040814
1, 1595092992, 0.040682
1, 1595097088, 0.040551
1, 1595101184, 0.040419
1, 1595105280, 0.040288
1, 1595109376, 0.040156
1, 1595113472, 0.040025
1, 1595117568, 0.039895
1, 1595121664, 0.039764
1, 1595125760, 0.039633
1, 1595129856, 0.039503
1, 1595133952, 0.039373
1, 1595138048, 0.039243
1, 1595142144, 0.039113
1, 1595146240, 0.038983
1, 1595150336, 0.038854
1, 1595154432, 0.038724
1, 1595158528, 0.038595
1, 1595162624, 0.038466
1, 1595166720, 0.038337
1, 1595170816, 0.038209
1, 1595174912, 0.038080
1, 1595179008, 0.037952
1, 1595183104, 0.037823
1, 1595187200, 0.037695
1, 1595191296, 0.037568
1, 1595195392, 0.037440
1, 1595199488, 0.037312
1, 1595203584, 0.037185
1, 1595207680, 0.037058
1, 1595211776, 0.036931
1, 1595215872, 0.036804
1, 1595219968, 0.036677
1, 1595224064, 0.036551
1, 1595228160, 0.036424
1, 1595232256, 0.036298
1, 1595236352, 0.036172
1, 1595240448, 0.036047
1, 1595244544, 0.035921
1, 1595248640, 0.035796
1, 1595252736, 0.035670
1, 1595256832, 0.035545
1, 1595260928, 0.035420
1, 1595265024, 0.035296
1, 1595269120, 0.035171
1, 1595273216, 0.035047
1, 1595277312, 0.034923
1, 1595281408, 0.034799
1, 1595285504, 0.034675
1, 1595289600, 0.034552
1, 1595293696, 0.034428
1, 1595297792, 0.034305
1, 1595301888, 0.034182
1, 1595305984, 0.034059
1, 1595310080, 0.033936
1, 1595314176, 0.033813
1, 1595318272, 0.033691
1, 1595322368, 0.033569
1, 1595326464, 0.033447
1, 1595330560, 0.033325
1, 1595334656, 0.033204
1, 1595338752, 0.033082
1, 1595342848, 0.032961
1, 1595346944, 0.032840
1, 1595351040, 0.032719
1, 1595355136, 0.032599
1, 1595359232, 0.032478
1, 1595363328, 0.032358
1, 1595367424, 0.032238
1, 1595371520, 0.032118
1, 1595375616, 0.031998
1, 1595379712, 0.031879
1, 1595383808, 0.031759
1, 1595387904, 0.031640
1, 1595392000, 0.031521
1, 1595396096, 0.031402
1, 1595400192, 0.031284
1, 1595404288, 0.031165
1, 1595408384, 0.031047
1, 1595412480, 0.030929
1, 1595416576, 0.030811
