NUM_NEWTON_STEPS,ADDR_WIDTH,WORD_WIDTH,SUSTAINABLE_INTERVAL,clock_period,WNS,Critical path timing,Max frequency,REG,LUT,DSP,BRAM,URAM
1,10,10,1,4.0,2.312,1.688,592,69,160,2,0,0
1,10,10,2,4.0,2.089,1.911,523,190,195,1,0,0
1,10,10,5,4.0,2.397,1.603,624,90,175,1,0,0
1,10,10,8,4.0,2.245,1.755,570,90,175,1,0,0
