Test (METHOD =    LOOKUP, NEWTON = 0 [WORD_WIDTH = 6, ADDR_WIDTH = 10], N = 64, SIMD = 2):  RMSRE = 0.0032693563, MAX_REL_ERROR = 0.0074578261, WORST_INPUT = 44296.6132812500000000000000000 (elements = 32645)
Test (METHOD =    LOOKUP, NEWTON = 0 [WORD_WIDTH = 8, ADDR_WIDTH = 10], N = 64, SIMD = 2):  RMSRE = 0.0008561043, MAX_REL_ERROR = 0.0020802113, WORST_INPUT = 0.0008129229536280035972595 (elements = 32702)
Test (METHOD =    LOOKUP, NEWTON = 0 [WORD_WIDTH = 10, ADDR_WIDTH = 10], N = 64, SIMD = 2): RMSRE = 0.0002930802, MAX_REL_ERROR = 0.0007602204, WORST_INPUT = 453.2428588867187500000000000 (elements = 32589)
Test (METHOD =    LOOKUP, NEWTON = 0 [WORD_WIDTH = 12, ADDR_WIDTH = 10], N = 64, SIMD = 2): RMSRE = 0.0002089001, MAX_REL_ERROR = 0.0004468694, WORST_INPUT = 178.4073638916015625000000000 (elements = 32555)
Test (METHOD =    LOOKUP, NEWTON = 0 [WORD_WIDTH = 14, ADDR_WIDTH = 10], N = 64, SIMD = 2): RMSRE = 0.0002102475, MAX_REL_ERROR = 0.0004767257, WORST_INPUT = -0.2354278862476348876953125 (elements = 32602)
Test (METHOD =    LOOKUP, NEWTON = 0 [WORD_WIDTH = 16, ADDR_WIDTH = 10], N = 64, SIMD = 2): RMSRE = 0.0002088204, MAX_REL_ERROR = 0.0004651591, WORST_INPUT = 470.3899230957031250000000000 (elements = 32695)
Test (METHOD =    LOOKUP, NEWTON = 0 [WORD_WIDTH = 6, ADDR_WIDTH = 11], N = 64, SIMD = 2):  RMSRE = 0.0032581539, MAX_REL_ERROR = 0.0074298366, WORST_INPUT = 2466.0012207031250000000000000 (elements = 32615)
Test (METHOD =    LOOKUP, NEWTON = 0 [WORD_WIDTH = 8, ADDR_WIDTH = 11], N = 64, SIMD = 2):  RMSRE = 0.0008530916, MAX_REL_ERROR = 0.0018689660, WORST_INPUT = 0.0000149309535117936320603 (elements = 32640)
Test (METHOD =    LOOKUP, NEWTON = 0 [WORD_WIDTH = 10, ADDR_WIDTH = 11], N = 64, SIMD = 2): RMSRE = 0.0002274839, MAX_REL_ERROR = 0.0005655567, WORST_INPUT = -3532.4384765625000000000000000 (elements = 32564)
Test (METHOD =    LOOKUP, NEWTON = 0 [WORD_WIDTH = 12, ADDR_WIDTH = 11], N = 64, SIMD = 2): RMSRE = 0.0001155171, MAX_REL_ERROR = 0.0002916982, WORST_INPUT = -10642.7939453125000000000000000 (elements = 32553)
Test (METHOD =    LOOKUP, NEWTON = 0 [WORD_WIDTH = 14, ADDR_WIDTH = 11], N = 64, SIMD = 2): RMSRE = 0.0001034310, MAX_REL_ERROR = 0.0002327643, WORST_INPUT = -176.6326599121093750000000000 (elements = 32699)
Test (METHOD =    LOOKUP, NEWTON = 0 [WORD_WIDTH = 16, ADDR_WIDTH = 11], N = 64, SIMD = 2): RMSRE = 0.0001013348, MAX_REL_ERROR = 0.0002342421, WORST_INPUT = -0.4305746257305145263671875 (elements = 32695)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 6, ADDR_WIDTH = 6], N = 64, SIMD = 2):   RMSRE = 0.0000496374, MAX_REL_ERROR = 0.0002076665, WORST_INPUT = -0.5782235264778137207031250 (elements = 32544)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 8, ADDR_WIDTH = 6], N = 64, SIMD = 2):   RMSRE = 0.0000281069, MAX_REL_ERROR = 0.0001028223, WORST_INPUT = -979.3325195312500000000000000 (elements = 32688)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 10, ADDR_WIDTH = 6], N = 64, SIMD = 2):  RMSRE = 0.0000243719, MAX_REL_ERROR = 0.0000812929, WORST_INPUT = 137.7322998046875000000000000 (elements = 32649)
