N,SIMD,RMSRE,MAX_REL_ERROR
2,2,1.544e-07,8.9234e-06
4,2,1.72e-07,1.55879e-05
8,2,1.636e-07,6.0329e-06
16,2,2.385e-07,1.15085e-05
32,2,2.413e-07,7.2532e-06
64,2,3.667e-07,1.23025e-05
128,2,4.718e-07,2.34324e-05
256,2,5.095e-07,2.13525e-05
512,2,8.326e-07,5.53285e-05
1024,2,1.5689e-06,2.17215e-05
2048,2,2.5525e-06,2.70384e-05
4096,2,3.9046e-06,3.13885e-05
8192,2,9.1046e-06,1.69059e-05
16384,2,2.3366e-05,2.94884e-05
