N,SIMD,RMSRE,MAX_REL_ERROR
2,2,0.0001728905,0.0007581115
4,2,0.0001807306,0.0008325177
8,2,0.0001737678,0.0007255631
16,2,0.0001770681,0.0007064699
32,2,0.0001808853,0.0006948743
64,2,0.000166531,0.0005806378
128,2,0.0001837547,0.0006320757
256,2,0.0001593476,0.0006002139
512,2,0.0001644844,0.0007319332
1024,2,0.0001992541,0.0005158385
2048,2,9.90302e-05,0.000222529
4096,2,6.80317e-05,0.0001758608
8192,2,0.0001057054,0.0001756387
16384,2,4.72055e-05,6.57896e-05
