N,SIMD,RMSRE,MAX_REL_ERROR
2,2,0.0002390009,0.0006645212
4,2,0.0001724614,0.000619667
8,2,0.0001505992,0.000592031
16,2,0.000143542,0.00066935
32,2,0.0001405219,0.000566674
64,2,0.0001529003,0.000656535
128,2,0.000145595,0.0004092299
256,2,0.0001453065,0.0004529122
512,2,0.0001609338,0.0003729161
1024,2,0.0001890098,0.000337257
2048,2,0.0001124095,0.0002648718
4096,2,0.0001528769,0.000372871
8192,2,0.0002245064,0.0003342115
16384,2,0.000191446,0.0002236229
