N,SIMD,RMSRE,MAX_REL_ERROR
2,2,1.1153e-06,4.4121e-06
4,2,1.238e-06,3.9573e-06
8,2,1.2134e-06,3.915e-06
16,2,1.1247e-06,4.1136e-06
32,2,9.986e-07,3.5666e-06
64,2,9.357e-07,3.2387e-06
128,2,9.232e-07,3.3882e-06
256,2,9.194e-07,3.0981e-06
512,2,9.27e-07,2.9792e-06
1024,2,9.421e-07,3.3679e-06
2048,2,9.596e-07,3.5745e-06
4096,2,1.2662e-06,3.9118e-06
8192,2,1.1808e-06,3.3313e-06
16384,2,1.3736e-06,3.544e-06
