N,SIMD,clock_period,WNS,Critical path timing,Max frequency,REG,LUT,DSP,BRAM,URAM
2,2,4.0,1.456,2.544,393,859,826,12,0,0
4,2,4.0,1.712,2.288,437,1051,889,11,0,0
8,2,4.0,1.628,2.372,422,1057,892,11,0,0
16,2,4.0,1.640,2.36,424,964,877,11,0,0
32,2,4.0,1.718,2.282,438,1033,916,11,0,0
64,2,4.0,1.869,2.131,469,1040,1114,11,0,0
128,2,4.0,1.773,2.227,449,1050,1308,11,0,0
256,2,4.0,1.685,2.315,432,1071,1694,11,0,0
512,2,4.0,1.674,2.326,430,1105,2393,11,0,0
1024,2,4.0,1.512,2.488,402,1145,3736,11,0,0
