NUM_NEWTON_STEPS,ADDR_WIDTH_0,ADDR_WIDTH_1,ADDR_WIDTH_2,WORD_WIDTH,LUT,DSP,RMSRE
0,2,3,3,11,26,0,0.001057613
0,2,4,4,12,36,0,0.0004047164
0,3,4,4,14,71,0,0.0001330765
0,3,5,5,15,125,0,5.131228e-05
0,4,5,5,17,257,0,1.663595e-05
0,4,6,6,18,478,0,6.373545e-06
1,2,3,3,11,44,2,1.75068e-06
1,2,4,4,12,57,2,3.118972e-07
1,3,4,4,14,95,2,5.898151e-08
1,3,5,5,15,152,2,4.816565e-08
1,4,5,5,17,286,2,4.847184e-08
1,4,6,6,18,510,2,4.845592e-08
