N,SIMD,clock_period,WNS,Critical path timing,Max frequency,REG,LUT,DSP,BRAM,URAM
64,1,4.0,2.240,1.76,568,501,487,6,0,0
64,2,4.0,2.001,1.999,500,627,577,11,0,0
64,4,4.0,1.804,2.196,455,888,765,21,0,0
64,8,4.0,1.810,2.19,457,1446,1373,41,0,0
64,16,4.0,1.704,2.296,436,2427,1796,81,0,0
64,32,4.0,1.572,2.428,412,4540,3393,162,0,0
64,64,4.0,0.841,3.159,317,8908,9535,323,0,0
