rsqrt_bipartite accuracy sweep
  NUM_SAMPLES      = 10000
  NS=0 A0=4 A1=5 A2=4 WW=17  RMSRE=1.321112e-05  max_rel_error=4.358253e-05  at x=8470550  (dut=0.000343577936, ref=0.000343592911)
  NS=0 A0=4 A1=5 A2=5 WW=18  RMSRE=7.449463e-06  max_rel_error=3.093713e-05  at x=5.57178074e-17  (dut=133972736, ref=133968591)
  NS=0 A0=4 A1=5 A2=6 WW=18  RMSRE=5.285743e-06  max_rel_error=2.423344e-05  at x=1.91439153e-06  (dut=722.761719, ref=722.744204)
  NS=0 A0=4 A1=5 A2=7 WW=18  RMSRE=4.578987e-06  max_rel_error=2.283191e-05  at x=0.0156262536  (dut=7.99949646, ref=7.99967911)
  NS=0 A0=4 A1=6 A2=3 WW=17  RMSRE=1.280021e-05  max_rel_error=3.796711e-05  at x=1.91262818e+38  (dut=7.23104748e-20, ref=7.23077295e-20)
  NS=0 A0=4 A1=6 A2=4 WW=18  RMSRE=6.591730e-06  max_rel_error=2.267680e-05  at x=0.00414254423  (dut=15.5366211, ref=15.5369734)
  NS=0 A0=4 A1=6 A2=5 WW=19  RMSRE=3.728636e-06  max_rel_error=1.488998e-05  at x=1.98632462e+28  (dut=7.09547303e-15, ref=7.09536738e-15)
  NS=0 A0=4 A1=6 A2=6 WW=19  RMSRE=2.655485e-06  max_rel_error=1.223040e-05  at x=1.70294235e+38  (dut=7.66311493e-20, ref=7.66302121e-20)
  NS=0 A0=4 A1=6 A2=7 WW=19  RMSRE=2.293530e-06  max_rel_error=1.088110e-05  at x=1.70294235e+38  (dut=7.66310459e-20, ref=7.66302121e-20)
  NS=0 A0=4 A1=7 A2=3 WW=18  RMSRE=6.369025e-06  max_rel_error=1.818829e-05  at x=0.0629269183  (dut=3.98648071, ref=3.98640821)
  NS=0 A0=4 A1=7 A2=4 WW=19  RMSRE=3.301044e-06  max_rel_error=1.057273e-05  at x=0.0332508683  (dut=5.48395538, ref=5.48401336)
  NS=0 A0=4 A1=7 A2=5 WW=20  RMSRE=1.897950e-06  max_rel_error=8.262898e-06  at x=4.40012479e+12  (dut=4.76728474e-07, ref=4.76724534e-07)
