method,params,rmsre,lut,dsp
exp:exp_splitting+rec:rec_bipartite,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=0;rec_ADDR_WIDTH_0=4;rec_ADDR_WIDTH_1=5;rec_ADDR_WIDTH_2=5;rec_WORD_WIDTH=17,1.672852e-05,1266,9
exp:exp_splitting+rec:rec_bipartite,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=0;rec_ADDR_WIDTH_0=4;rec_ADDR_WIDTH_1=5;rec_ADDR_WIDTH_2=5;rec_WORD_WIDTH=17,1.674541e-05,1264,9
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=5;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=6;rec_WORD_WIDTH=12,1.680245e-05,1006,11
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=5;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=6;rec_WORD_WIDTH=10,1.682185e-05,1002,11
exp:exp_splitting+rec:rec_bipartite,exp_ADDR_WIDTH_0=5;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=0;rec_ADDR_WIDTH_0=4;rec_ADDR_WIDTH_1=5;rec_ADDR_WIDTH_2=5;rec_WORD_WIDTH=17,1.684731e-05,1260,9
exp:exp_splitting+rec:rec_bipartite,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=0;rec_ADDR_WIDTH_0=4;rec_ADDR_WIDTH_1=5;rec_ADDR_WIDTH_2=5;rec_WORD_WIDTH=17,1.721166e-05,1254,9
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=5;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=6;rec_WORD_WIDTH=8,1.743481e-05,998,11
exp:exp_splitting+rec:rec_bipartite,exp_ADDR_WIDTH_0=5;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=0;rec_ADDR_WIDTH_0=4;rec_ADDR_WIDTH_1=5;rec_ADDR_WIDTH_2=5;rec_WORD_WIDTH=17,1.744116e-05,1250,9
exp:exp_splitting+rec:rec_bipartite,exp_ADDR_WIDTH_0=5;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=0;rec_ADDR_WIDTH_0=4;rec_ADDR_WIDTH_1=5;rec_ADDR_WIDTH_2=5;rec_WORD_WIDTH=17,1.812145e-05,1246,9
exp:exp_bipartite+rec:rec_bipartite,exp_ADDR_WIDTH_0=3;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=18;rec_NUM_NEWTON_STEPS=0;rec_ADDR_WIDTH_0=4;rec_ADDR_WIDTH_1=5;rec_ADDR_WIDTH_2=5;rec_WORD_WIDTH=17,2.057215e-05,1694,7
