method,params,rmsre,lut,dsp
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=7;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=10;rec_WORD_WIDTH=10,1.521869e-06,833,6
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=10;rec_WORD_WIDTH=10,1.523409e-06,819,6
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=7;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=9;rec_WORD_WIDTH=14,1.527685e-06,816,6
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=7;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=9;rec_WORD_WIDTH=12,1.527832e-06,792,6
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=9;rec_WORD_WIDTH=12,1.529367e-06,778,6
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=7;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=9;rec_WORD_WIDTH=10,1.534142e-06,770,6
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=9;rec_WORD_WIDTH=10,1.535670e-06,756,6
exp:exp_splitting+rec:rec_bipartite,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=7;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH_0=2;rec_ADDR_WIDTH_1=4;rec_ADDR_WIDTH_2=4;rec_WORD_WIDTH=12,1.547454e-06,730,6
exp:exp_splitting+rec:rec_bipartite,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH_0=2;rec_ADDR_WIDTH_1=4;rec_ADDR_WIDTH_2=4;rec_WORD_WIDTH=12,1.548968e-06,716,6
exp:exp_splitting+rec:rec_bipartite,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH_0=2;rec_ADDR_WIDTH_1=4;rec_ADDR_WIDTH_2=4;rec_WORD_WIDTH=12,1.784882e-06,711,6
exp:exp_splitting+rec:rec_bipartite,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH_0=2;rec_ADDR_WIDTH_1=4;rec_ADDR_WIDTH_2=4;rec_WORD_WIDTH=12,1.936794e-06,710,6
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=8;rec_WORD_WIDTH=8,2.195882e-06,705,6
exp:exp_splitting+rec:rec_bipartite,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH_0=2;rec_ADDR_WIDTH_1=3;rec_ADDR_WIDTH_2=3;rec_WORD_WIDTH=11,2.316658e-06,703,6
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=8;rec_WORD_WIDTH=8,2.368206e-06,700,6
exp:exp_splitting+rec:rec_bipartite,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH_0=2;rec_ADDR_WIDTH_1=3;rec_ADDR_WIDTH_2=3;rec_WORD_WIDTH=11,2.480606e-06,698,6
exp:exp_splitting+rec:rec_bipartite,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH_0=2;rec_ADDR_WIDTH_1=3;rec_ADDR_WIDTH_2=3;rec_WORD_WIDTH=11,2.592060e-06,697,6
exp:exp_bipartite+rec:rec_lookup,exp_ADDR_WIDTH_0=4;exp_ADDR_WIDTH_1=7;exp_ADDR_WIDTH_2=7;exp_WORD_WIDTH=21;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=10;rec_WORD_WIDTH=10,2.754569e-06,1867,5
exp:exp_bipartite+rec:rec_lookup,exp_ADDR_WIDTH_0=4;exp_ADDR_WIDTH_1=7;exp_ADDR_WIDTH_2=7;exp_WORD_WIDTH=21;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=9;rec_WORD_WIDTH=14,2.757787e-06,1850,5
exp:exp_bipartite+rec:rec_lookup,exp_ADDR_WIDTH_0=4;exp_ADDR_WIDTH_1=7;exp_ADDR_WIDTH_2=7;exp_WORD_WIDTH=21;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=9;rec_WORD_WIDTH=12,2.757868e-06,1826,5
exp:exp_bipartite+rec:rec_lookup,exp_ADDR_WIDTH_0=4;exp_ADDR_WIDTH_1=7;exp_ADDR_WIDTH_2=7;exp_WORD_WIDTH=21;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=9;rec_WORD_WIDTH=10,2.761368e-06,1804,5
exp:exp_bipartite+rec:rec_bipartite,exp_ADDR_WIDTH_0=4;exp_ADDR_WIDTH_1=7;exp_ADDR_WIDTH_2=7;exp_WORD_WIDTH=21;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH_0=2;rec_ADDR_WIDTH_1=4;rec_ADDR_WIDTH_2=4;rec_WORD_WIDTH=12,2.768786e-06,1764,5
exp:exp_bipartite+rec:rec_lookup,exp_ADDR_WIDTH_0=4;exp_ADDR_WIDTH_1=7;exp_ADDR_WIDTH_2=7;exp_WORD_WIDTH=21;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=8;rec_WORD_WIDTH=8,3.176283e-06,1753,5
exp:exp_splitting+rec:rec_bipartite,exp_ADDR_WIDTH_0=5;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH_0=2;rec_ADDR_WIDTH_1=3;rec_ADDR_WIDTH_2=3;rec_WORD_WIDTH=11,3.184628e-06,695,6
exp:exp_bipartite+rec:rec_bipartite,exp_ADDR_WIDTH_0=4;exp_ADDR_WIDTH_1=7;exp_ADDR_WIDTH_2=7;exp_WORD_WIDTH=21;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH_0=2;rec_ADDR_WIDTH_1=3;rec_ADDR_WIDTH_2=3;rec_WORD_WIDTH=11,3.260947e-06,1751,5
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=7;rec_WORD_WIDTH=10,3.296637e-06,693,6
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=7;rec_WORD_WIDTH=10,3.381299e-06,692,6
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=5;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=7;rec_WORD_WIDTH=10,3.854383e-06,690,6
exp:exp_bipartite+rec:rec_lookup,exp_ADDR_WIDTH_0=4;exp_ADDR_WIDTH_1=7;exp_ADDR_WIDTH_2=7;exp_WORD_WIDTH=21;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=7;rec_WORD_WIDTH=10,3.917676e-06,1746,5
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=7;rec_WORD_WIDTH=8,4.139177e-06,686,6
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=7;rec_WORD_WIDTH=8,4.206918e-06,685,6
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=5;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=7;rec_WORD_WIDTH=8,4.595785e-06,683,6
exp:exp_bipartite+rec:rec_lookup,exp_ADDR_WIDTH_0=4;exp_ADDR_WIDTH_1=7;exp_ADDR_WIDTH_2=7;exp_WORD_WIDTH=21;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=7;rec_WORD_WIDTH=8,4.648996e-06,1739,5
exp:exp_bipartite+rec:rec_lookup,exp_ADDR_WIDTH_0=4;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=20;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=10;rec_WORD_WIDTH=10,4.994533e-06,1312,5
exp:exp_bipartite+rec:rec_lookup,exp_ADDR_WIDTH_0=4;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=20;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=9;rec_WORD_WIDTH=14,4.996308e-06,1295,5
exp:exp_bipartite+rec:rec_lookup,exp_ADDR_WIDTH_0=4;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=20;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=9;rec_WORD_WIDTH=12,4.996353e-06,1271,5
exp:exp_bipartite+rec:rec_lookup,exp_ADDR_WIDTH_0=4;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=20;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=9;rec_WORD_WIDTH=10,4.998286e-06,1249,5
exp:exp_bipartite+rec:rec_bipartite,exp_ADDR_WIDTH_0=4;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=20;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH_0=2;rec_ADDR_WIDTH_1=4;rec_ADDR_WIDTH_2=4;rec_WORD_WIDTH=12,5.002388e-06,1209,5
exp:exp_bipartite+rec:rec_lookup,exp_ADDR_WIDTH_0=4;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=20;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=8;rec_WORD_WIDTH=8,5.238939e-06,1198,5
exp:exp_bipartite+rec:rec_bipartite,exp_ADDR_WIDTH_0=4;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=20;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH_0=2;rec_ADDR_WIDTH_1=3;rec_ADDR_WIDTH_2=3;rec_WORD_WIDTH=11,5.290698e-06,1196,5
