num_newton_steps, addr_width, word_width, RMSRE, max_rel_error
0, 6, 6, 0.004640921, 0.012060896
0, 6, 8, 0.003314379, 0.008562815
0, 6, 10, 0.003196199, 0.008033243
0, 6, 12, 0.003189703, 0.007770278
0, 6, 14, 0.003189346, 0.007705688
0, 6, 16, 0.003189326, 0.007697296
0, 7, 6, 0.003646265, 0.009060902
0, 7, 8, 0.001798642, 0.004923004
0, 7, 10, 0.001606796, 0.004091551
0, 7, 12, 0.001595651, 0.003934006
0, 7, 14, 0.001594764, 0.003890991
0, 7, 16, 0.001594709, 0.003879547
0, 8, 6, 0.003483561, 0.008350994
0, 8, 8, 0.001154597, 0.003151159
0, 8, 10, 0.000826332, 0.002217023
0, 8, 12, 0.000799218, 0.002014352
0, 8, 14, 0.000797477, 0.001953170
0, 8, 16, 0.000797366, 0.001949340
0, 9, 6, 0.003410303, 0.008059555
0, 9, 8, 0.000930479, 0.002361971
0, 9, 10, 0.000449298, 0.001285971
0, 9, 12, 0.000402378, 0.001056301
0, 9, 14, 0.000398901, 0.000991564
0, 9, 16, 0.000398694, 0.000976516
0, 10, 6, 0.003391543, 0.007826929
0, 10, 8, 0.000870445, 0.002137726
0, 10, 10, 0.000292640, 0.000817482
0, 10, 12, 0.000206374, 0.000557922
0, 10, 14, 0.000199792, 0.000503841
0, 10, 16, 0.000199368, 0.000491087
0, 11, 6, 0.003386659, 0.007812470
0, 11, 8, 0.000851599, 0.002041053
0, 11, 10, 0.000234372, 0.000601779
0, 11, 12, 0.000113175, 0.000325402
0, 11, 14, 0.000100538, 0.000264009
0, 11, 16, 0.000099724, 0.000248648
0, 12, 6, 0.003385913, 0.007812470
0, 12, 8, 0.000847734, 0.001972845
0, 12, 10, 0.000217220, 0.000539955
0, 12, 12, 0.000072361, 0.000204114
0, 12, 14, 0.000051607, 0.000143330
0, 12, 16, 0.000049946, 0.000127142
1, 6, 6, 0.000049570, 0.000217366
1, 6, 8, 0.000024446, 0.000110296
1, 6, 10, 0.000022232, 0.000097107
1, 6, 12, 0.000022115, 0.000090845
1, 6, 14, 0.000022109, 0.000089317
1, 6, 16, 0.000022108, 0.000088936
1, 7, 6, 0.000029742, 0.000122861
1, 7, 8, 0.000007466, 0.000036400
1, 7, 10, 0.000005634, 0.000025123
1, 7, 12, 0.000005536, 0.000023294
1, 7, 14, 0.000005528, 0.000022769
1, 7, 16, 0.000005528, 0.000022615
1, 8, 6, 0.000026655, 0.000104961
1, 8, 8, 0.000003111, 0.000014972
1, 8, 10, 0.000001511, 0.000007441
