NUM_NEWTON_STEPS,MAGIC,RMSRE,MAX_REL_ERROR,WORST_INPUT
0,0x5f34c8c3,0.020522715,0.0448151804,29.431028366088867
1,0x5f34c8c3,0.0009672474,0.0029496132,-1.060977816581726
2,0x5f34c8c3,3.7942e-06,1.42644e-05,165.519287109375
