ADDR_WIDTH_0,ADDR_WIDTH_1,ADDR_WIDTH_2,WORD_WIDTH,LUT,DSP,RMSRE
5,5,5,22,185,2,1.420887e-05
5,5,6,22,191,2,8.367534e-06
5,6,5,22,193,2,6.468643e-06
5,6,6,22,198,2,3.698623e-06
6,5,5,22,195,2,5.598326e-06
6,5,6,22,200,2,2.786265e-06
6,6,5,22,201,2,2.423136e-06
6,6,6,22,206,2,1.377817e-06
6,6,7,22,220,2,1.141486e-06
6,7,6,22,228,2,1.087615e-06
6,7,7,22,240,2,1.05815e-06
7,6,6,22,236,2,1.088529e-06
7,6,7,22,248,2,1.065411e-06
7,7,6,22,256,2,1.079278e-06
7,7,7,22,265,2,1.077225e-06
